review_id,source_type,platform,review_date,user_id,review_title,review_text,rating,helpful_count,condition,sentiment_label,contains_benefit_mention,contains_side_effect_mention,contains_trade_off_language
REV_000017,Review_Platform,WebMD,26-04-2022,reviewer_89,Mixed results,"My endocrinologist put me on Ozempic 2 months ago for Type 2 Diabetes. As a 38-year-old with obesity, this has been life-changing.

Benefits I've experienced: my A1C dropped from 9.3 to 6.0 and my doctor is thrilled. My doctor is very pleased with these results

The negative aspects: the constipation is uncomfortable and persistent. Some days are worse than others.

Talk to your healthcare provider to see if this is right for you.",3,78,Type 2 Diabetes,mixed,1,1,0
REV_000018,Review_Platform,Drugs.com,03-09-2022,reviewer_101,Highly effective medication,"My endocrinologist put me on Ozempic 9 months ago for Type 2 Diabetes.

The positives: I've lost 38 pounds and honestly I can't believe it. This is the most I've ever lost on any medication I have so much more energy throughout the day

However, the side effects have been significant. headaches have been more frequent since starting. It's affecting my daily life.

For me, these results are absolutely worth the discomfort. This medication has given me hope for better health.

I'm glad my doctor suggested this medication.",5,2,Type 2 Diabetes,positive,1,1,1
REV_000019,Review_Platform,Drugs.com,06-11-2024,reviewer_300,Mixed results,"Been on this medication for 18 months now treating Type 2 Diabetes. As a 32-year-old with insulin resistance, this has been life-changing.

On the plus side: my appetite is so much more manageable now

Overall, I would recommend discussing this with your doctor.",3,148,Type 2 Diabetes,mixed,1,0,0
REV_000020,Review_Platform,WebMD,12-12-2023,reviewer_331,Highly effective medication,"My endocrinologist put me on Ozempic 4 months ago for Type 2 Diabetes.

The positives: my A1C dropped from 7.9 to 5.9 and my doctor is thrilled. I feel much more stable throughout the day

I'm glad my doctor suggested this medication.",4,135,Type 2 Diabetes,positive,1,0,0
REV_000021,Review_Platform,Drugs.com,26-01-2024,reviewer_486,Highly effective medication,"My endocrinologist put me on Ozempic 8 months ago for Weight Loss.

What's worked well: my A1C dropped from 8.3 to 6.2 and my doctor is thrilled. No more scary blood sugar spikes

Side effects I'm dealing with: nausea hits me hard, particularly in the mornings. It's affecting my daily life dealing with persistent headaches, especially early on. It's affecting my daily life.

I'd take these side effects over where I was before any day.

I would recommend this to others dealing with similar health issues.",4,86,Weight Loss,positive,1,1,1
REV_000022,Review_Platform,Drugs.com,12-03-2022,reviewer_279,Difficult to tolerate,"Started Ozempic over a year ago prescribed by my doctor for Weight Loss.

The drawbacks: dealing with persistent nausea - some days are worse than others. This has been difficult to manage.

The side effects are too much for me to continue long-term.",2,44,Weight Loss,negative,0,1,0
REV_000023,Review_Platform,Drugs.com,09-09-2024,reviewer_347,Difficult to tolerate,"After a month using Ozempic for Type 2 Diabetes, here's my honest review: As a 32-year-old with type 2 diabetes, this has been life-changing.

However, the side effects have been significant. headaches have been more frequent since starting. Some days are worse than others.

The side effects are too much for me to continue long-term.",2,124,Type 2 Diabetes,negative,0,1,0
REV_000024,Review_Platform,WebMD,01-03-2024,reviewer_249,Difficult to tolerate,"Been on this medication for over a year now treating Type 2 Diabetes. Background: 46F, obesity diagnosis about 3 years ago.

Side effects I'm dealing with: tiredness is a real issue I'm working through. It's affecting my daily life.

The side effects are too much for me to continue long-term.",2,45,Type 2 Diabetes,negative,0,1,0
REV_000025,Review_Platform,WebMD,15-07-2024,reviewer_206,Difficult to tolerate,"Been on this medication for 6 weeks now treating Type 2 Diabetes.

The negative aspects: I feel more tired than usual, especially after injection day. It's been quite challenging the nausea is real and it can be debilitating at times. This has been difficult to manage.

I'm not sure this medication is right for me.",2,12,Type 2 Diabetes,negative,0,1,0
REV_000026,Review_Platform,WebMD,09-08-2022,reviewer_189,Highly effective medication,"I've been taking Ozempic for 9 months for Weight Loss.

On the plus side: my appetite is so much more manageable now blood sugar control is the best it's been in years. No more scary blood sugar spikes

Challenges I've faced: noticing my hair is thinning a bit which is concerning. This has been difficult to manage.

I'm managing by adjusting my meal timing. The trade-off is worth it when I see the progress.

I would recommend this to others dealing with similar health issues.",5,42,Weight Loss,positive,1,1,1
REV_000027,Review_Platform,WebMD,29-01-2022,reviewer_51,Difficult to tolerate,"Been on this medication for 9 months now treating Weight Loss.

I'm not sure this medication is right for me.",2,127,Weight Loss,negative,0,0,0
REV_000028,Review_Platform,WebMD,29-01-2023,reviewer_135,Difficult to tolerate,"Started Ozempic 6 weeks ago prescribed by my doctor for Type 2 Diabetes.

However, the side effects have been significant. digestive slowdown is real - constipation is annoying. It's been quite challenging.

The side effects are too much for me to continue long-term.",2,78,Type 2 Diabetes,negative,0,1,0
REV_000029,Review_Platform,WebMD,10-08-2022,reviewer_313,Highly effective medication,"Been on this medication for half a year now treating Type 2 Diabetes.

The positives: the scale shows 38 pounds down and I'm not even trying that hard. I feel more confident and healthier my A1C dropped from 9.2 to 6.0 and my doctor is thrilled. My doctor is very pleased with these results

The drawbacks: getting headaches that I didn't have before. This is my biggest complaint.

I'm managing by eating smaller portions and staying hydrated. The trade-off is worth it when I see the progress. The improvements in my health markers make it worthwhile.

I'm glad my doctor suggested this medication.",4,3,Type 2 Diabetes,positive,1,1,1
REV_000030,Review_Platform,WebMD,07-07-2022,reviewer_25,Highly effective medication,"After half a year using Ozempic for Type 2 Diabetes, here's my honest review:

What's worked well: I've lost 38 pounds and honestly I can't believe it. I feel more confident and healthier

The negative aspects: struggling with constipation more than I expected. It's affecting my daily life dealing with persistent headaches, especially early on. It's been quite challenging.

Compared to the health risks I was facing, this is manageable.

I'm glad my doctor suggested this medication.",4,87,Type 2 Diabetes,positive,1,1,1
REV_000031,Review_Platform,WebMD,01-09-2024,reviewer_112,Difficult to tolerate,"My endocrinologist put me on Ozempic 2 months ago for Weight Loss.

The drawbacks: dealing with persistent nausea - some days are worse than others. This has been difficult to manage.

The side effects are too much for me to continue long-term.",2,79,Weight Loss,negative,0,1,0
REV_000032,Review_Platform,WebMD,15-12-2024,reviewer_454,Difficult to tolerate,"Been on this medication for 8 months now treating Type 2 Diabetes. Background: 46F, type 2 diabetes diagnosis about 3 years ago.

The negative aspects: diarrhea is manageable but definitely inconvenient. It's been quite challenging.

The side effects are too much for me to continue long-term.",1,9,Type 2 Diabetes,negative,0,1,0
REV_000033,Review_Platform,WebMD,12-12-2024,reviewer_340,Difficult to tolerate,"Been on this medication for almost a year now treating Type 2 Diabetes.

The drawbacks: the fatigue during the first week was intense. Some days are worse than others the constipation is uncomfortable and persistent. It's been quite challenging.

I'm not sure this medication is right for me.",1,71,Type 2 Diabetes,negative,0,1,0
REV_000034,Review_Platform,Drugs.com,18-09-2022,reviewer_28,Difficult to tolerate,"My endocrinologist put me on Ozempic 4 months ago for Type 2 Diabetes.

Side effects I'm dealing with: I feel more tired than usual, especially after injection day. It's affecting my daily life.

The benefits don't outweigh the challenges for me personally.",2,6,Type 2 Diabetes,negative,0,1,0
REV_000035,Review_Platform,WebMD,29-02-2024,reviewer_164,Highly effective medication,"Started Ozempic 9 months ago prescribed by my doctor for Weight Loss.

The positives: I have so much more energy throughout the day

Challenges I've faced: exhaustion hits me in waves throughout the week. This is my biggest complaint.

I'm managing by crackers and bland foods. Compared to the health risks I was facing, this is manageable. This medication has given me hope for better health.

Despite the side effects, this has been worth it for me.",5,97,Weight Loss,positive,1,1,1
REV_000036,Review_Platform,Drugs.com,03-02-2022,reviewer_326,Difficult to tolerate,"Been on this medication for 5 months now treating Type 2 Diabetes.

Challenges I've faced: had some vomiting issues, especially if I eat too much. Some days are worse than others.

I'm not sure this medication is right for me.",1,131,Type 2 Diabetes,negative,0,1,0
REV_000037,Review_Platform,WebMD,08-03-2022,reviewer_498,Highly effective medication,"I've been taking Ozempic for over a year for Weight Loss. As a 51-year-old with weight issues, this has been life-changing.

Benefits I've experienced: I can actually feel full and satisfied after normal portions blood sugar levels are finally stable - went from 8.8 to 6.2. This has reduced my need for other medications

Challenges I've faced: tiredness is a real issue I'm working through. Some days are worse than others.

The trade-off is worth it when I see the progress. This medication has given me hope for better health.

I would recommend this to others dealing with similar health issues.",4,1,Weight Loss,positive,1,1,1
REV_000038,Review_Platform,WebMD,13-11-2022,reviewer_43,Difficult to tolerate,"After 7 months using Ozempic for Weight Loss, here's my honest review:

The drawbacks: I've thrown up a few times, which is definitely not fun. This is my biggest complaint.

Consult carefully with your doctor about potential side effects.",1,50,Weight Loss,negative,0,1,0
REV_000039,Review_Platform,WebMD,26-07-2024,reviewer_282,Mixed results,"Started Ozempic a month ago prescribed by my doctor for Type 2 Diabetes.

The positives: the scale shows 18 pounds down and I'm not even trying that hard. I feel more confident and healthier my A1C dropped from 8.0 to 6.3 and my doctor is thrilled. No more scary blood sugar spikes

The negative aspects: struggling with constipation more than I expected. Some days are worse than others.

I'm managing by crackers and bland foods.

Everyone's experience is different, but this is mine.",3,81,Type 2 Diabetes,mixed,1,1,0
REV_000040,Review_Platform,WebMD,08-08-2022,reviewer_60,Difficult to tolerate,"Been on this medication for 9 months now treating Type 2 Diabetes.

The negative aspects: digestive slowdown is real - constipation is annoying. This has been difficult to manage.

The side effects are too much for me to continue long-term.",2,129,Type 2 Diabetes,negative,0,1,0
REV_000041,Review_Platform,Drugs.com,27-06-2024,reviewer_295,Highly effective medication,"My endocrinologist put me on Ozempic about 3 weeks ago for Type 2 Diabetes.

The positives: I'm down 48 pounds and my clothes are fitting so much better. I feel more confident and healthier

The drawbacks: I feel more tired than usual, especially after injection day. This is my biggest complaint.

For me, these results are absolutely worth the discomfort.

Despite the side effects, this has been worth it for me.",4,28,Type 2 Diabetes,positive,1,1,1
REV_000042,Review_Platform,WebMD,22-03-2023,reviewer_119,Mixed results,"Been on this medication for almost a year now treating Type 2 Diabetes.

What's worked well: I'm down 48 pounds and my clothes are fitting so much better. I feel more confident and healthier

Challenges I've faced: exhaustion hits me in waves throughout the week. It's affecting my daily life.

I'm managing by crackers and bland foods.

Your mileage may vary - consult your doctor.",3,20,Type 2 Diabetes,mixed,1,1,0
REV_000043,Review_Platform,Drugs.com,10-06-2023,reviewer_469,Difficult to tolerate,"My endocrinologist put me on Ozempic a month ago for Weight Loss. Background: 42F, type 2 diabetes diagnosis about 3 years ago.

Challenges I've faced: exhaustion hits me in waves throughout the week. It's affecting my daily life.

The benefits don't outweigh the challenges for me personally.",2,53,Weight Loss,negative,0,1,0
REV_000044,Review_Platform,WebMD,22-07-2024,reviewer_276,Mixed results,"Started Ozempic a month ago prescribed by my doctor for Type 2 Diabetes. Background: 42F, weight issues diagnosis about 3 years ago.

Benefits I've experienced: I have so much more energy throughout the day

The drawbacks: I do get waves of nausea that can be intense. It's affecting my daily life.

Would I recommend it? Absolutely.",3,5,Type 2 Diabetes,mixed,1,1,0
REV_000045,Review_Platform,WebMD,23-12-2022,reviewer_390,Highly effective medication,"Started Ozempic 18 months ago prescribed by my doctor for Weight Loss.

Benefits I've experienced: I'm down 52 pounds and my clothes are fitting so much better. Friends and family have noticed the change

I'm glad my doctor suggested this medication.",5,118,Weight Loss,positive,1,0,0
REV_000046,Review_Platform,Drugs.com,31-03-2023,reviewer_7,Difficult to tolerate,"I've been taking Ozempic for 2 months for Type 2 Diabetes.

The drawbacks: reflux symptoms are more pronounced now. It's affecting my daily life.

The benefits don't outweigh the challenges for me personally.",2,118,Type 2 Diabetes,negative,0,1,0
REV_000047,Review_Platform,Drugs.com,09-10-2023,reviewer_345,Difficult to tolerate,"My endocrinologist put me on Ozempic 7 months ago for Weight Loss. I'm 51 years old and have struggled with insulin resistance for years.

The negative aspects: the nausea is real and it can be debilitating at times. It's been quite challenging headaches have been more frequent since starting. It's been quite challenging.

The benefits don't outweigh the challenges for me personally.",2,36,Weight Loss,negative,0,1,0
REV_000048,Review_Platform,Drugs.com,08-02-2024,reviewer_168,Highly effective medication,"My endocrinologist put me on Ozempic about 3 weeks ago for Type 2 Diabetes.

Benefits I've experienced: blood sugar control is the best it's been in years. I feel much more stable throughout the day the weight is literally melting off - down 18 lbs already. Friends and family have noticed the change

The negative aspects: the constipation is uncomfortable and persistent. Some days are worse than others I do get waves of nausea that can be intense. It's affecting my daily life.

I'm managing by adjusting my meal timing. I'd take these side effects over where I was before any day.

Overall, I'm very satisfied and plan to continue.",4,49,Type 2 Diabetes,positive,1,1,1
REV_000049,Review_Platform,WebMD,13-08-2024,reviewer_253,Difficult to tolerate,"Started Ozempic 7 months ago prescribed by my doctor for Type 2 Diabetes. I'm 32 years old and have struggled with type 2 diabetes for years.

However, the side effects have been significant. acid reflux has gotten worse, especially at night. Some days are worse than others.

The benefits don't outweigh the challenges for me personally.",2,100,Type 2 Diabetes,negative,0,1,0
REV_000050,Review_Platform,Drugs.com,07-12-2023,reviewer_196,Highly effective medication,"I've been taking Ozempic for 8 months for Type 2 Diabetes.

What's worked well: the weight is literally melting off - down 18 lbs already. My clothes fit better and I have more energy

The drawbacks: nausea hits me hard, particularly in the mornings. It's affecting my daily life.

I'm managing by ginger tea and small frequent meals. The benefits far outweigh the side effects in my opinion. The improvements in my health markers make it worthwhile.

I'm glad my doctor suggested this medication.",4,112,Type 2 Diabetes,positive,1,1,1
REV_000051,Review_Platform,WebMD,15-01-2023,reviewer_65,Highly effective medication,"Been on this medication for 18 months now treating Weight Loss.

Benefits I've experienced: the scale shows 52 pounds down and I'm not even trying that hard. This is the most I've ever lost on any medication my A1C dropped from 9.1 to 6.0 and my doctor is thrilled. This has reduced my need for other medications

Challenges I've faced: headaches have been more frequent since starting. It's been quite challenging.

I'd take these side effects over where I was before any day. This medication has given me hope for better health.

I'm glad my doctor suggested this medication.",4,112,Weight Loss,positive,1,1,1
REV_000052,Review_Platform,Drugs.com,22-07-2023,reviewer_113,Mixed results,"Started Ozempic 6 weeks ago prescribed by my doctor for Weight Loss.

The positives: 38 pounds gone and I feel like a different person. Friends and family have noticed the change

The drawbacks: reflux symptoms are more pronounced now. Some days are worse than others.

I'm managing by prescription anti-nausea meds.

Would I recommend it? Yes, but with reservations.",3,105,Weight Loss,mixed,1,1,0
REV_000053,Review_Platform,WebMD,12-02-2023,reviewer_441,Difficult to tolerate,"I've been taking Ozempic for over a year for Weight Loss.

The drawbacks: digestive issues including some diarrhea episodes. This has been difficult to manage.

Consult carefully with your doctor about potential side effects.",2,70,Weight Loss,negative,0,1,0
REV_000054,Review_Platform,Drugs.com,10-10-2023,reviewer_176,Highly effective medication,"My endocrinologist put me on Ozempic about 3 weeks ago for Type 2 Diabetes.

The positives: I'm down 48 pounds and my clothes are fitting so much better. I feel more confident and healthier

The negative aspects: reflux symptoms are more pronounced now. It's affecting my daily life.

The trade-off is worth it when I see the progress.

Overall, I'm very satisfied and plan to continue.",5,56,Type 2 Diabetes,positive,1,1,1
REV_000055,Review_Platform,WebMD,26-11-2024,reviewer_68,Highly effective medication,"After 4 months using Ozempic for Type 2 Diabetes, here's my honest review:

What's worked well: the weight is literally melting off - down 52 lbs already. I feel more confident and healthier my A1C dropped from 8.9 to 6.0 and my doctor is thrilled. This has reduced my need for other medications

Despite the side effects, this has been worth it for me.",5,84,Type 2 Diabetes,positive,1,0,0
REV_000056,Review_Platform,Drugs.com,07-11-2023,reviewer_181,Difficult to tolerate,"Been on this medication for 5 months now treating Weight Loss. As a 55-year-old with insulin resistance, this has been life-changing.

Side effects I'm dealing with: digestive slowdown is real - constipation is annoying. This has been difficult to manage.

The benefits don't outweigh the challenges for me personally.",2,26,Weight Loss,negative,0,1,0
REV_000057,Review_Platform,Drugs.com,19-08-2022,reviewer_128,Highly effective medication,"Started Ozempic 2 months ago prescribed by my doctor for Type 2 Diabetes.

What's worked well: the weight is literally melting off - down 22 lbs already. My clothes fit better and I have more energy

However, the side effects have been significant. the fatigue during the first week was intense. It's been quite challenging.

This is temporary discomfort for long-term health. My quality of life has improved despite the side effects.

Overall, I'm very satisfied and plan to continue.",4,30,Type 2 Diabetes,positive,1,1,1
REV_000058,Review_Platform,WebMD,22-05-2022,reviewer_334,Difficult to tolerate,"My endocrinologist put me on Ozempic almost a year ago for Type 2 Diabetes. Background: 46F, weight issues diagnosis about 3 years ago.

The side effects are too much for me to continue long-term.",1,78,Type 2 Diabetes,negative,0,0,0
REV_000059,Review_Platform,Drugs.com,20-01-2024,reviewer_309,Highly effective medication,"I've been taking Ozempic for half a year for Weight Loss. As a 42-year-old with weight issues, this has been life-changing.

Benefits I've experienced: I'm finally not thinking about food 24/7 I have so much more energy throughout the day

However, the side effects have been significant. the nausea is real and it can be debilitating at times. This is my biggest complaint.

I'm managing by adjusting my meal timing. Compared to the health risks I was facing, this is manageable.

Despite the side effects, this has been worth it for me.",5,14,Weight Loss,positive,1,1,1
REV_000060,Review_Platform,Drugs.com,10-05-2022,reviewer_328,Highly effective medication,"Started Ozempic a month ago prescribed by my doctor for Weight Loss.

What's worked well: my glucose readings are consistently in normal range now. This has reduced my need for other medications

Side effects I'm dealing with: the vomiting is sporadic but when it happens it's rough. This has been difficult to manage.

Compared to the health risks I was facing, this is manageable. I'm willing to continue because the benefits are so significant.

Overall, I'm very satisfied and plan to continue.",5,80,Weight Loss,positive,1,1,1
REV_000061,Review_Platform,WebMD,29-01-2022,reviewer_453,Highly effective medication,"Been on this medication for a month now treating Weight Loss.

Benefits I've experienced: my appetite is so much more manageable now

Side effects I'm dealing with: reflux symptoms are more pronounced now. It's affecting my daily life.

I'm managing by anti-nausea medication from my doctor. Honestly, it's a small price to pay for these results. My quality of life has improved despite the side effects.

Overall, I'm very satisfied and plan to continue.",5,99,Weight Loss,positive,1,1,1
REV_000062,Review_Platform,WebMD,17-01-2023,reviewer_241,Highly effective medication,"My endocrinologist put me on Ozempic 2 months ago for Weight Loss.

On the plus side: my A1C dropped from 8.6 to 6.4 and my doctor is thrilled. I feel much more stable throughout the day

Side effects I'm dealing with: dealing with persistent headaches, especially early on. This is my biggest complaint.

I'm managing by ginger tea and small frequent meals. The trade-off is worth it when I see the progress.

Overall, I'm very satisfied and plan to continue.",5,119,Weight Loss,positive,1,1,1
REV_000063,Review_Platform,Drugs.com,02-06-2023,reviewer_1,Difficult to tolerate,"Been on this medication for 8 months now treating Type 2 Diabetes. Background: 42F, weight issues diagnosis about 3 years ago.

Benefits I've experienced: the constant cravings have disappeared

The drawbacks: the constipation is uncomfortable and persistent. It's affecting my daily life.

I'm not sure this medication is right for me.",1,86,Type 2 Diabetes,negative,0,1,0
REV_000064,Review_Platform,WebMD,23-09-2023,reviewer_165,Highly effective medication,"Started Ozempic 9 months ago prescribed by my doctor for Type 2 Diabetes.

Benefits I've experienced: A1C improvement is incredible - 9.3 down to 6.3. This has reduced my need for other medications

The drawbacks: getting headaches that I didn't have before. It's affecting my daily life the constipation is uncomfortable and persistent. Some days are worse than others.

I'm managing by anti-nausea medication from my doctor. Compared to the health risks I was facing, this is manageable. My quality of life has improved despite the side effects.

I'm glad my doctor suggested this medication.",5,25,Type 2 Diabetes,positive,1,1,1
REV_000065,Review_Platform,WebMD,11-04-2022,reviewer_352,Mixed results,"Been on this medication for a month now treating Type 2 Diabetes.

What's worked well: the food noise in my head is completely gone

Would I recommend it? Not sure yet, still adjusting.",3,86,Type 2 Diabetes,mixed,1,0,0
REV_000066,Review_Platform,Drugs.com,18-05-2024,reviewer_372,Difficult to tolerate,"Started Ozempic 8 months ago prescribed by my doctor for Weight Loss.

Challenges I've faced: reflux symptoms are more pronounced now. This has been difficult to manage.

I'm not sure this medication is right for me.",2,118,Weight Loss,negative,0,1,0
REV_000067,Review_Platform,Drugs.com,16-02-2024,reviewer_218,Difficult to tolerate,"My endocrinologist put me on Ozempic 8 months ago for Weight Loss.

Challenges I've faced: dealing with persistent nausea - some days are worse than others. This has been difficult to manage.

The side effects are too much for me to continue long-term.",2,69,Weight Loss,negative,0,1,0
REV_000068,Review_Platform,Drugs.com,30-06-2024,reviewer_439,Highly effective medication,"My endocrinologist put me on Ozempic 4 months ago for Type 2 Diabetes. Background: 51F, obesity diagnosis about 3 years ago.

On the plus side: I'm finally not thinking about food 24/7

The drawbacks: dealing with persistent nausea - some days are worse than others. This has been difficult to manage.

I'm managing by anti-nausea medication from my doctor. The trade-off is worth it when I see the progress. I'm willing to continue because the benefits are so significant.

I would recommend this to others dealing with similar health issues.",4,118,Type 2 Diabetes,positive,1,1,1
REV_000069,Review_Platform,Drugs.com,01-05-2024,reviewer_168,Difficult to tolerate,"Been on this medication for 5 months now treating Weight Loss.

Consult carefully with your doctor about potential side effects.",1,63,Weight Loss,negative,0,0,0
REV_000070,Review_Platform,Drugs.com,29-07-2022,reviewer_356,Mixed results,"I've been taking Ozempic for 2 months for Weight Loss.

The positives: the constant cravings have disappeared

However, the side effects have been significant. nausea hits me hard, particularly in the mornings. This is my biggest complaint dealing with persistent headaches, especially early on. This has been difficult to manage.

I'm managing by anti-nausea medication from my doctor.

Overall, I would recommend discussing this with your doctor.",3,119,Weight Loss,mixed,1,1,0
REV_000071,Review_Platform,WebMD,28-08-2022,reviewer_461,Highly effective medication,"I've been taking Ozempic for 18 months for Weight Loss.

Benefits I've experienced: blood sugar levels are finally stable - went from 8.1 to 6.5. My doctor is very pleased with these results

Despite the side effects, this has been worth it for me.",5,115,Weight Loss,positive,1,0,0
REV_000072,Review_Platform,WebMD,26-05-2022,reviewer_224,Highly effective medication,"After 4 months using Ozempic for Weight Loss, here's my honest review:

On the plus side: I can actually feel full and satisfied after normal portions

Side effects I'm dealing with: tiredness is a real issue I'm working through. It's affecting my daily life.

For me, these results are absolutely worth the discomfort.

I would recommend this to others dealing with similar health issues.",4,88,Weight Loss,positive,1,1,1
