review_id,source_type,platform,drug,condition,date,user_id,title,text,combined_text,rating
REV_000011,Review_Platform,Drugs.com,Ozempic,Type 2 Diabetes,,user_11,,"For Type 2 Diabetes ""I'm a 54-year-old female whose A1C was 8.3 at the end of March. So, after 4 months on Ozempic, my A1C is now 6.3, and I've lost 34 lbs. Definitely curbs my appetite, and I have been logging my food. My side effects have been minimal - a little nausea in the beginning and constipation. This med has been a game-changer for me. My hope is that many others will have the same results I have.""","For Type 2 Diabetes ""I'm a 54-year-old female whose A1C was 8.3 at the end of March. So, after 4 months on Ozempic, my A1C is now 6.3, and I've lost 34 lbs. Definitely curbs my appetite, and I have been logging my food. My side effects have been minimal - a little nausea in the beginning and constipation. This med has been a game-changer for me. My hope is that many others will have the same results I have.""",
REV_000012,Review_Platform,Drugs.com,Ozempic,Type 2 Diabetes,,user_12,,"For Type 2 Diabetes ""I was terrified to take this after reading some of the reviews online, but I have to say I am so happy I started this drug. I've followed others' suggestions about injecting the drug into my upper thigh and not my abdomen. I was on a 0.25 dose for 4 weeks, then moved to 0.5, and that's what I currently take. My appetite has decreased SIGNIFICANTLY. I was addicted to eating junk foods, and I simply cannot eat them anymore, my stomach cannot handle them. I get full after eating one properly sized meal, and it keeps me going for most of the day, only having a snack like 1 apple in the evening. Side effects were mild for me, I had some constipation, but I started taking fiber supplements to help with that. I have been on the medication for 7 weeks now, and I'm down 10 lbs, and I feel great. Make sure your doctor gets you to increase the dose slowly, inject into your thigh, and be ready to make better dietary choices when starting this drug. I truly believe it saved me from morbid obesity.""","For Type 2 Diabetes ""I was terrified to take this after reading some of the reviews online, but I have to say I am so happy I started this drug. I've followed others' suggestions about injecting the drug into my upper thigh and not my abdomen. I was on a 0.25 dose for 4 weeks, then moved to 0.5, and that's what I currently take. My appetite has decreased SIGNIFICANTLY. I was addicted to eating junk foods, and I simply cannot eat them anymore, my stomach cannot handle them. I get full after eating one properly sized meal, and it keeps me going for most of the day, only having a snack like 1 apple in the evening. Side effects were mild for me, I had some constipation, but I started taking fiber supplements to help with that. I have been on the medication for 7 weeks now, and I'm down 10 lbs, and I feel great. Make sure your doctor gets you to increase the dose slowly, inject into your thigh, and be ready to make better dietary choices when starting this drug. I truly believe it saved me from morbid obesity.""",
REV_000013,Review_Platform,Drugs.com,Ozempic,Type 2 Diabetes,,user_13,,"For Type 2 Diabetes ""I started Ozempic in late December at 0.25 injection. I also take 500mg metformin per day. Soon after I started Ozempic, I had decreased appetite and my sugars improved, but I had reflux, gas, bloating, nausea, and diarrhea. After 4 weeks, I started 0.50. 2 weeks in, I have bouts of painful constipation then diarrhea, nausea, bloating, gas, reflux, and cramping. I've almost vomited a few times. When I eat, it feels like the food just sits and sits, barely moving through my gut. My doctor wants me to stick with it, saying that these side effects usually improve, but it's been pretty miserable. I'm thinking I'm going to stop taking it. While Ozempic has been effective in regulating my sugars and losing weight, I don't think it's worth the suffering that I've been enduring on this medication. I understand that studies showed it causing thyroid cancer in mice, but no one knows if it causes thyroid cancer in humans. I don't want to be the guinea pig the drug makers use to find out it does.""","For Type 2 Diabetes ""I started Ozempic in late December at 0.25 injection. I also take 500mg metformin per day. Soon after I started Ozempic, I had decreased appetite and my sugars improved, but I had reflux, gas, bloating, nausea, and diarrhea. After 4 weeks, I started 0.50. 2 weeks in, I have bouts of painful constipation then diarrhea, nausea, bloating, gas, reflux, and cramping. I've almost vomited a few times. When I eat, it feels like the food just sits and sits, barely moving through my gut. My doctor wants me to stick with it, saying that these side effects usually improve, but it's been pretty miserable. I'm thinking I'm going to stop taking it. While Ozempic has been effective in regulating my sugars and losing weight, I don't think it's worth the suffering that I've been enduring on this medication. I understand that studies showed it causing thyroid cancer in mice, but no one knows if it causes thyroid cancer in humans. I don't want to be the guinea pig the drug makers use to find out it does.""",
REV_000014,Review_Platform,Drugs.com,Ozempic,Type 2 Diabetes,,user_14,,"For Type 2 Diabetes ""Been on Ozempic since mid-April 2020. All side effects listed with the worst being chronic diarrhea. Nausea has been significant but has settled to occasionally. Trying to follow a more plant-based diet, I have lost today an official 60 pounds. I find the less meat I eat, the more energy I have, the better my blood sugars are as well. I am 53, so weight loss isn't impossible for us older ladies...""","For Type 2 Diabetes ""Been on Ozempic since mid-April 2020. All side effects listed with the worst being chronic diarrhea. Nausea has been significant but has settled to occasionally. Trying to follow a more plant-based diet, I have lost today an official 60 pounds. I find the less meat I eat, the more energy I have, the better my blood sugars are as well. I am 53, so weight loss isn't impossible for us older ladies...""",
REV_000015,Review_Platform,Drugs.com,Ozempic,Type 2 Diabetes,,user_15,,"For Type 2 Diabetes ""I have been on 0.5 Ozempic for 2 months now. The nausea is no better. I vomit almost every day. Driving down the road and I begin to vomit. Almost caused me to wreck my car twice now. I've lost 30 pounds and feel terrible. My stomach hurts all the time and now my back. I do not urinate much at all even though I've increased water. Calling today and going off it. Losing weight is great, but not at the cost of feeling horrible every day.""","For Type 2 Diabetes ""I have been on 0.5 Ozempic for 2 months now. The nausea is no better. I vomit almost every day. Driving down the road and I begin to vomit. Almost caused me to wreck my car twice now. I've lost 30 pounds and feel terrible. My stomach hurts all the time and now my back. I do not urinate much at all even though I've increased water. Calling today and going off it. Losing weight is great, but not at the cost of feeling horrible every day.""",
REV_000016,Review_Platform,Drugs.com,Ozempic,Type 2 Diabetes,,user_16,,"For Weight Loss ""I started Ozempic on 2/22/23 weighing 216 lbs. As of today, 4/1/2023, I am 191.2 lbs, so just about 25 lbs in 5.5 weeks! I started out at 0.25 for 4 weeks, then moved to 0.5 last week. I've been nauseous maybe 4 times, I’ve gotten a few headaches, and kinda backed up about 3 days a week. I started taking magnesium at night before bed, and that really helped me get more regular. I’m barely hungry and need to force myself to eat. Anyways, I’m really excited and I’m looking forward to summer!""","For Weight Loss ""I started Ozempic on 2/22/23 weighing 216 lbs. As of today, 4/1/2023, I am 191.2 lbs, so just about 25 lbs in 5.5 weeks! I started out at 0.25 for 4 weeks, then moved to 0.5 last week. I've been nauseous maybe 4 times, I’ve gotten a few headaches, and kinda backed up about 3 days a week. I started taking magnesium at night before bed, and that really helped me get more regular. I’m barely hungry and need to force myself to eat. Anyways, I’m really excited and I’m looking forward to summer!""",
REV_000017,Review_Platform,Drugs.com,Ozempic,Type 2 Diabetes,,user_17,,"For Type 2 Diabetes ""I have been taking Ozempic for 16 months and have lost 80 lbs! I started at 0.25 and have moved up to 1. At first, I was terribly sick, but I took my time to adjust bit by bit while the dose was slowly raised, and now I don't feel sick at all from it. If you can hold on and push through (the push was hard, REALLY sick some days), it does get better. It has saved my life.""","For Type 2 Diabetes ""I have been taking Ozempic for 16 months and have lost 80 lbs! I started at 0.25 and have moved up to 1. At first, I was terribly sick, but I took my time to adjust bit by bit while the dose was slowly raised, and now I don't feel sick at all from it. If you can hold on and push through (the push was hard, REALLY sick some days), it does get better. It has saved my life.""",
REV_000018,Review_Platform,Drugs.com,Ozempic,Type 2 Diabetes,,user_18,,"For Type 2 Diabetes ""I was put on Ozempic after taking Glimepiride for several years. I started on 0.25mg, then onto 1mg. I started having the nastiest burps ever, then diarrhea 3 to 4 times a day. After 3 months, I went to a gastroenterologist and was diagnosed with gastroparesis, a side effect of Ozempic. I have all the side effects - nasty, offensive-smelling burps, eye floaters in both eyes, bad diarrhea, stomach pain, and now this disease that has caused precancerous cells. Yes, my appetite has decreased, I have lost 15 lbs in 3 months, and my numbers are good. But it's not worth being sick every day. I just found out my daughter is going through the same exact thing. So, take it at your own risk.""","For Type 2 Diabetes ""I was put on Ozempic after taking Glimepiride for several years. I started on 0.25mg, then onto 1mg. I started having the nastiest burps ever, then diarrhea 3 to 4 times a day. After 3 months, I went to a gastroenterologist and was diagnosed with gastroparesis, a side effect of Ozempic. I have all the side effects - nasty, offensive-smelling burps, eye floaters in both eyes, bad diarrhea, stomach pain, and now this disease that has caused precancerous cells. Yes, my appetite has decreased, I have lost 15 lbs in 3 months, and my numbers are good. But it's not worth being sick every day. I just found out my daughter is going through the same exact thing. So, take it at your own risk.""",
REV_000019,Review_Platform,Drugs.com,Ozempic,Type 2 Diabetes,,user_19,,"For Cardiovascular Risk Reduction ""I did lots of research before starting Ozempic, so was aware of potential (hideous) side effects. I started a week ago on a starting dose of 0.25. (Had my second 0.25 dose this morning). Super, super, super happy! Based on research, I have opted to inject in my upper leg rather than my tummy. I don’t know if it’s based on the injection location, or if I’m just lucky, but I have had ZERO side effects. No nausea, no dizziness, nothing. I am eating three sensible, small, low-fat meals a day, with perhaps a small amount of fruit as a snack, and walk my dog regularly. I am down 1 kg (2.2 pounds) over the week, and am super confident that I will be able to continue on Ozempic until I get down to my goal weight (20 kg/44 pounds to go). Although my doctor said he will increase my Ozempic to 0.5 then 1mg over the next 2 months, I am going to say no and stay on 0.25 for as long as that works for me. Why increase if the current dose is working! I am 55. Cost in Australia = $132 per script.""","For Cardiovascular Risk Reduction ""I did lots of research before starting Ozempic, so was aware of potential (hideous) side effects. I started a week ago on a starting dose of 0.25. (Had my second 0.25 dose this morning). Super, super, super happy! Based on research, I have opted to inject in my upper leg rather than my tummy. I don’t know if it’s based on the injection location, or if I’m just lucky, but I have had ZERO side effects. No nausea, no dizziness, nothing. I am eating three sensible, small, low-fat meals a day, with perhaps a small amount of fruit as a snack, and walk my dog regularly. I am down 1 kg (2.2 pounds) over the week, and am super confident that I will be able to continue on Ozempic until I get down to my goal weight (20 kg/44 pounds to go). Although my doctor said he will increase my Ozempic to 0.5 then 1mg over the next 2 months, I am going to say no and stay on 0.25 for as long as that works for me. Why increase if the current dose is working! I am 55. Cost in Australia = $132 per script.""",
REV_000020,Review_Platform,Drugs.com,Ozempic,Type 2 Diabetes,,user_20,,"For Type 2 Diabetes ""I have been taking Ozempic for 4 months to reduce insulin resistance (caused by polycystic ovary syndrome). The medication has significantly reduced my appetite. I have had a few minor side effects - a stomach cramp here, an episode of diarrhea there...but nothing at all significant. My weight went from 151 (BMI 25.9) to 133 three months later (BMI 22.8). I honestly could not be happier.""","For Type 2 Diabetes ""I have been taking Ozempic for 4 months to reduce insulin resistance (caused by polycystic ovary syndrome). The medication has significantly reduced my appetite. I have had a few minor side effects - a stomach cramp here, an episode of diarrhea there...but nothing at all significant. My weight went from 151 (BMI 25.9) to 133 three months later (BMI 22.8). I honestly could not be happier.""",
REV_000021,Review_Platform,Drugs.com,Ozempic,Type 2 Diabetes,,user_21,,"For Type 2 Diabetes ""Did the first 4 weeks of Ozempic at 0.25 had mild stomach issues. Nausea was come and go, really not consistent. Helped control my eating. Doctor said if you overeat or eat like you used to, you will throw up. There is no place for overeating but up. Didn't overeat, didn't have much issue. Took stool softener to keep things moving. At the 0.5 dose, ate less but had fewer side effects than my first dose. Glad I have started the med, it works.""","For Type 2 Diabetes ""Did the first 4 weeks of Ozempic at 0.25 had mild stomach issues. Nausea was come and go, really not consistent. Helped control my eating. Doctor said if you overeat or eat like you used to, you will throw up. There is no place for overeating but up. Didn't overeat, didn't have much issue. Took stool softener to keep things moving. At the 0.5 dose, ate less but had fewer side effects than my first dose. Glad I have started the med, it works.""",
REV_000022,Review_Platform,Drugs.com,Ozempic,Type 2 Diabetes,,user_22,,"For Type 2 Diabetes ""I started taking Ozempic in June 2020, initially lost 20 pounds by August. Total of 30 pounds so far, last 10 have been a lot slower. I went from 186 pounds to 156 pounds. A1c went from 6.5 to 5.6. Minimal side effects include occasional nausea and constipation. Started using Miralax, which has helped. Side effects I have experienced are worth the benefits. I consistently wake up with glucose levels in 80-90 range, never out of the green zone on a glucometer. I cannot overeat. If I do, I feel ill or get heartburn, so I have learned my lesson. I am really happy with this medication.""","For Type 2 Diabetes ""I started taking Ozempic in June 2020, initially lost 20 pounds by August. Total of 30 pounds so far, last 10 have been a lot slower. I went from 186 pounds to 156 pounds. A1c went from 6.5 to 5.6. Minimal side effects include occasional nausea and constipation. Started using Miralax, which has helped. Side effects I have experienced are worth the benefits. I consistently wake up with glucose levels in 80-90 range, never out of the green zone on a glucometer. I cannot overeat. If I do, I feel ill or get heartburn, so I have learned my lesson. I am really happy with this medication.""",
REV_000023,Review_Platform,Drugs.com,Ozempic,Type 2 Diabetes,,user_23,,"For Cardiovascular Risk Reduction ""Having struggled with a need for carbs and sugar for over 2 decades, it caught up with. Constantly sluggish, despite regular exercise. Risk of heart issues as I have an inherited Cholesterol disease. Weight, well that's a given, most females postmenopausal struggle to lose weight. So, after all sorts of natural therapies and a ton of exercise, nothing helped very much. My GP mentioned Ozempic, even though I was only pre-diabetic she still felt it would help. After the usual low-dose start - 6 weeks later up to 1mg. I have been injecting weekly and 6 months later, I am not only 30 lbs down, I feel so brilliant. More energy, better sleep, and no sugar cravings at all. It has been great. No side effects, maybe a little constipation at the start (mainly due to a change in eating habits). Superb med, wish more people could be offered the chance to use it. It is still expensive in the insurance world, however, hopefully like many other meds in this country, the costs will lessen.""","For Cardiovascular Risk Reduction ""Having struggled with a need for carbs and sugar for over 2 decades, it caught up with. Constantly sluggish, despite regular exercise. Risk of heart issues as I have an inherited Cholesterol disease. Weight, well that's a given, most females postmenopausal struggle to lose weight. So, after all sorts of natural therapies and a ton of exercise, nothing helped very much. My GP mentioned Ozempic, even though I was only pre-diabetic she still felt it would help. After the usual low-dose start - 6 weeks later up to 1mg. I have been injecting weekly and 6 months later, I am not only 30 lbs down, I feel so brilliant. More energy, better sleep, and no sugar cravings at all. It has been great. No side effects, maybe a little constipation at the start (mainly due to a change in eating habits). Superb med, wish more people could be offered the chance to use it. It is still expensive in the insurance world, however, hopefully like many other meds in this country, the costs will lessen.""",
REV_000024,Review_Platform,Drugs.com,Ozempic,Type 2 Diabetes,,user_24,,"For Type 2 Diabetes ""Side effects are mild for me, but it really decreases your appetite. Initially, I could only tolerate fresh fruits and vegetables. I took this as an opportunity to change my lifestyle. I eat healthier and avoided sugary drinks. I lost a total of 40 lbs. in 6 months. A1C dropped from 7.3 to 5.4. Dress size dropped from 14 to size 4. I am no longer on daily insulin, BP meds, and cholesterol meds. All labs are normal. This medication is my lifesaver.""","For Type 2 Diabetes ""Side effects are mild for me, but it really decreases your appetite. Initially, I could only tolerate fresh fruits and vegetables. I took this as an opportunity to change my lifestyle. I eat healthier and avoided sugary drinks. I lost a total of 40 lbs. in 6 months. A1C dropped from 7.3 to 5.4. Dress size dropped from 14 to size 4. I am no longer on daily insulin, BP meds, and cholesterol meds. All labs are normal. This medication is my lifesaver.""",
REV_000025,Review_Platform,Drugs.com,Ozempic,Type 2 Diabetes,,user_25,,"For Type 2 Diabetes ""I took one dose of Ozempic and I have been sick ever since. Diarrhea, vomiting, nausea, stomach cramps, and a little dizziness. This is terrible, will never use again. Can someone tell me how long these symptoms last?""","For Type 2 Diabetes ""I took one dose of Ozempic and I have been sick ever since. Diarrhea, vomiting, nausea, stomach cramps, and a little dizziness. This is terrible, will never use again. Can someone tell me how long these symptoms last?""",
REV_000026,Review_Platform,Drugs.com,Ozempic,Type 2 Diabetes,,user_1,,"For Cardiovascular Risk Reduction ""I went on Ozempic for weight loss after being told by a friend of mine about it - she started at 280 lbs and lost 60+ pounds. My whole life I’ve always been about 130 pounds, and then I rapidly gained 50 pounds within about 2 years. I started taking Ozempic at 182 pounds (I’m 5’4) and 6 months later I am down 25 pounds and continuing to lose. I could not recommend this drug more. It INTENSELY reduced my appetite and obsession over food. Aside from some occasional nausea (maybe once every 2 weeks), and some diarrhea, nothing that I can’t handle, the drug has been pretty great. This is only my experience though!""","For Cardiovascular Risk Reduction ""I went on Ozempic for weight loss after being told by a friend of mine about it - she started at 280 lbs and lost 60+ pounds. My whole life I’ve always been about 130 pounds, and then I rapidly gained 50 pounds within about 2 years. I started taking Ozempic at 182 pounds (I’m 5’4) and 6 months later I am down 25 pounds and continuing to lose. I could not recommend this drug more. It INTENSELY reduced my appetite and obsession over food. Aside from some occasional nausea (maybe once every 2 weeks), and some diarrhea, nothing that I can’t handle, the drug has been pretty great. This is only my experience though!""",
REV_000027,Review_Platform,Drugs.com,Ozempic,Type 2 Diabetes,,user_2,,"For Type 2 Diabetes ""I've been on Ozempic for 8 weeks. At first, I had side effects of a lot of nausea. Now, I wake up cold and clammy the last week and very anxious. Overall feeling unwell. Wondering if anyone else has experienced this?""","For Type 2 Diabetes ""I've been on Ozempic for 8 weeks. At first, I had side effects of a lot of nausea. Now, I wake up cold and clammy the last week and very anxious. Overall feeling unwell. Wondering if anyone else has experienced this?""",
